first_name,last_name,date,team_abbreviation,opponent_abbreviation,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Pau,Gasol,2014-11-13,CHI,TOR,2101,12,19,0,0,3,4,2,9,11,2,1,3,2,2,27,50.75
Rudy,Gay,2014-11-13,SAC,MEM,2416,8,17,1,2,8,8,3,4,7,2,1,1,0,3,25,41.25
Jimmy,Butler,2014-11-13,CHI,TOR,2387,7,10,1,3,6,8,0,9,9,6,0,1,1,3,21,43.25
Dirk,Nowitzki,2014-11-13,DAL,PHI,1209,7,8,1,2,6,7,0,3,3,4,0,0,1,1,21,30.75
Mike,Conley,2014-11-13,MEM,SAC,2324,8,17,1,3,5,6,0,1,1,11,1,0,1,4,22,41.75
Andrew,Bogut,2014-11-13,GSW,BRK,1860,4,7,0,0,3,5,7,7,14,5,1,4,1,3,11,45.5
James,Johnson,2014-11-13,TOR,CHI,1455,7,9,0,1,2,3,2,3,5,1,4,4,1,5,16,39.25
Draymond,Green,2014-11-13,GSW,BRK,1958,7,14,3,8,0,0,0,8,8,7,1,2,1,1,17,44.5
Jarrett,Jack,2014-11-13,BRK,GSW,1530,10,10,0,0,3,4,0,3,3,3,0,0,3,4,23,29.75
Marc,Gasol,2014-11-13,MEM,SAC,2245,5,13,0,0,10,11,3,4,7,2,2,2,2,4,20,38.75
Darren,Collison,2014-11-13,SAC,MEM,2240,6,11,2,3,6,7,0,2,2,5,1,1,3,2,20,33.5
Klay,Thompson,2014-11-13,GSW,BRK,2152,8,22,4,9,5,6,2,2,4,2,2,0,2,0,25,38.0
Courtney,Lee,2014-11-13,MEM,SAC,2155,6,9,1,1,3,3,0,1,1,3,3,0,1,3,16,27.75
Chandler,Parsons,2014-11-13,DAL,PHI,1704,4,7,2,5,4,6,2,4,6,3,0,0,0,1,14,27.0
DeMarcus,Cousins,2014-11-13,SAC,MEM,1851,8,17,0,0,6,7,2,10,12,1,2,3,6,5,22,45.5
Monta,Ellis,2014-11-13,DAL,PHI,1738,7,12,2,4,1,2,0,4,4,4,3,0,3,3,17,33.5
Brandan,Wright,2014-11-13,DAL,PHI,967,4,7,0,0,6,7,2,3,5,0,1,2,0,3,14,26.25
Kyle,Lowry,2014-11-13,TOR,CHI,2057,8,19,3,7,1,3,1,7,8,8,0,0,2,5,20,42.5
Deron,Williams,2014-11-13,BRK,GSW,1981,7,14,2,3,2,2,0,4,4,5,2,0,3,3,18,34.0
Joakim,Noah,2014-11-13,CHI,TOR,1957,3,5,0,0,0,2,3,5,8,6,3,1,0,3,6,33.0
Vince,Carter,2014-11-13,MEM,SAC,1024,4,5,3,4,0,0,1,3,4,2,1,1,1,0,11,24.0
Mike,Dunleavy,2014-11-13,CHI,TOR,2082,5,10,2,5,2,4,0,5,5,2,1,0,0,0,14,26.25
Mason,Plumlee,2014-11-13,BRK,GSW,1218,3,9,0,1,7,8,2,6,8,1,0,1,0,1,13,26.5
Zach,Randolph,2014-11-13,MEM,SAC,2055,6,13,0,0,5,8,0,8,8,2,0,0,0,3,17,30.0
Jose,Barea,2014-11-13,DAL,PHI,1182,3,7,0,1,1,1,0,3,3,11,1,0,1,1,7,28.75
Joe,Johnson,2014-11-13,BRK,GSW,1948,5,12,0,2,2,2,1,4,5,4,3,0,1,2,12,29.75
Amir,Johnson,2014-11-13,TOR,CHI,1806,4,9,1,1,5,7,3,2,5,1,1,1,1,3,14,25.75
Derrick,Rose,2014-11-13,CHI,TOR,1791,5,14,1,5,9,10,2,1,3,4,0,0,5,0,20,27.75
Stephen,Curry,2014-11-13,GSW,BRK,1916,6,12,3,7,2,2,1,2,3,5,0,0,3,5,17,28.25
Ben,McLemore,2014-11-13,SAC,MEM,2240,6,12,3,6,2,4,0,4,4,0,0,0,1,1,17,23.0
Harrison,Barnes,2014-11-13,GSW,BRK,1939,4,10,1,3,3,3,0,3,3,3,0,0,0,0,12,20.75
Tyson,Chandler,2014-11-13,DAL,PHI,1128,3,4,0,0,3,3,1,9,10,2,0,0,2,2,9,23.5
Devin,Harris,2014-11-13,DAL,PHI,737,2,3,1,2,2,2,0,2,2,1,2,0,0,0,7,15.5
Terrence,Ross,2014-11-13,TOR,CHI,1958,5,10,2,7,0,0,0,3,3,2,1,1,1,4,12,23.25
Marreese,Speights,2014-11-13,GSW,BRK,975,4,6,0,0,0,2,3,6,9,0,1,3,2,3,8,26.25
Taj,Gibson,2014-11-13,CHI,TOR,1447,5,11,0,0,0,0,5,2,7,1,1,2,3,3,10,24.75
Brook,Lopez,2014-11-13,BRK,GSW,1616,7,17,0,0,4,4,2,3,5,0,0,0,3,3,18,22.75
Charlie,Villanueva,2014-11-13,DAL,PHI,477,4,6,2,4,0,0,0,2,2,0,0,0,1,0,10,13.0
Jonas,Valanciunas,2014-11-13,TOR,CHI,1379,4,8,0,0,0,0,4,4,8,2,0,1,2,3,8,22.0
Leandro,Barbosa,2014-11-13,GSW,BRK,909,4,9,0,3,0,0,1,0,1,3,1,1,1,0,8,17.25
