first_name,last_name,date,team_abbreviation,opponent_abbreviation,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Blake,Griffin,2014-12-08,LAC,PHO,2552,14,24,2,2,15,17,0,8,8,2,1,0,3,4,45,59.5
Eric,Bledsoe,2014-12-08,PHO,LAC,2722,8,16,2,6,9,9,1,10,11,16,2,2,5,4,27,71.25
Paul,Pierce,2014-12-08,WAS,BOS,2339,9,12,4,5,6,6,0,7,7,3,2,0,1,5,28,46.75
Jeff,Teague,2014-12-08,ATL,IND,1901,8,11,1,1,4,5,0,3,3,7,3,0,1,0,21,41.25
John,Wall,2014-12-08,WAS,BOS,2651,10,17,1,3,5,8,1,6,7,17,3,0,9,4,26,62.25
Kelly,Olynyk,2014-12-08,BOS,WAS,2486,6,12,1,3,6,6,7,4,11,3,4,1,1,6,19,47.25
Marcus,Smart,2014-12-08,BOS,WAS,2099,7,14,4,8,5,5,3,1,4,5,2,0,0,4,23,41.5
Al,Horford,2014-12-08,ATL,IND,1822,9,18,1,1,6,6,2,6,8,3,1,3,2,2,25,47.0
Dion,Waiters,2014-12-08,CLE,BRK,1778,11,21,1,6,3,3,0,1,1,4,2,1,0,0,26,39.75
Marcin,Gortat,2014-12-08,WAS,BOS,2170,6,12,0,0,9,9,4,8,12,3,0,2,2,2,21,43.5
Rudy,Gay,2014-12-08,SAC,UTA,2003,10,19,0,1,9,10,3,3,6,1,3,1,4,5,29,44.0
Tristan,Thompson,2014-12-08,CLE,BRK,1743,6,7,0,0,2,4,8,4,12,1,2,2,1,2,14,38.0
Patrick,Patterson,2014-12-08,TOR,DEN,2311,7,11,5,7,0,0,2,6,8,2,0,1,0,1,19,36.5
Evan,Turner,2014-12-08,BOS,WAS,2350,8,13,2,2,0,0,0,6,6,8,2,1,2,4,18,43.5
Ty,Lawson,2014-12-08,DEN,TOR,2951,8,19,2,8,4,6,0,6,6,12,2,0,3,5,22,51.0
Arron,Afflalo,2014-12-08,DEN,TOR,2639,9,14,4,7,3,3,1,5,6,2,0,0,3,5,25,36.0
Louis,Williams,2014-12-08,TOR,DEN,1681,7,16,3,10,9,10,1,2,3,1,0,1,2,2,26,33.75
Stephen,Curry,2014-12-08,GSW,MIN,1880,10,20,1,7,0,0,1,3,4,7,3,1,3,3,21,43.5
DeAndre,Jordan,2014-12-08,LAC,PHO,2492,5,6,0,0,0,2,7,7,14,0,2,4,1,2,10,39.0
Brandon,Bass,2014-12-08,BOS,WAS,1883,8,16,0,0,3,4,2,7,9,1,3,1,1,2,19,39.25
Jonas,Valanciunas,2014-12-08,TOR,DEN,1879,8,11,0,0,2,3,2,10,12,0,0,4,2,5,18,40.0
