first_name,last_name,date,team_abbreviation,opponent_abbreviation,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Ersan,Ilyasova,2015-03-26,MIL,IND,2140,12,14,5,6,5,6,1,5,6,2,2,0,0,3,34,51.0
C.J.,Watson,2015-03-26,IND,MIL,1917,4,9,2,4,13,15,1,6,7,7,2,0,4,5,23,45.25
C.J.,Miles,2015-03-26,IND,MIL,1931,7,14,4,8,8,10,1,2,3,1,1,0,2,3,26,34.25
George,Hill,2015-03-26,IND,MIL,2021,7,12,6,10,4,5,1,2,3,5,1,0,5,4,24,37.75
Giannis,Antetokounmpo,2015-03-26,MIL,IND,2582,7,10,0,1,2,4,1,3,4,2,0,1,1,3,16,25.5
Luis,Scola,2015-03-26,IND,MIL,1760,6,12,0,1,3,5,5,3,8,2,1,1,2,4,15,31.0
Michael,Carter-Williams,2015-03-26,MIL,IND,1752,3,11,0,1,7,11,1,4,5,8,4,0,2,6,13,38.25
Zaza,Pachulia,2015-03-26,MIL,IND,1943,4,7,0,0,4,4,1,5,6,3,2,0,3,5,12,26.5
Roy,Hibbert,2015-03-26,IND,MIL,1640,3,5,0,0,4,4,1,2,3,0,1,2,1,3,10,19.25
Khris,Middleton,2015-03-26,MIL,IND,2035,6,12,2,3,3,3,0,3,3,1,0,0,3,4,17,21.75
John,Henson,2015-03-26,MIL,IND,937,3,5,0,0,2,4,1,1,2,1,2,2,1,4,8,19.5
Tyler,Ennis,2015-03-26,MIL,IND,352,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3.0
Jared,Dudley,2015-03-26,MIL,IND,740,1,3,0,1,0,0,0,1,1,1,0,0,1,0,2,4.25
Jerryd,Bayless,2015-03-26,MIL,IND,1128,2,6,1,3,1,2,1,1,2,2,0,0,3,4,6,10.5
Ian,Mahinmi,2015-03-26,IND,MIL,1228,0,2,0,0,1,4,1,4,5,0,0,1,0,3,1,9.25
Damjan,Rudez,2015-03-26,IND,MIL,1410,1,6,1,5,0,0,0,3,3,0,0,0,0,1,3,7.25
O.J.,Mayo,2015-03-26,MIL,IND,791,1,5,1,4,0,0,0,1,1,4,0,0,2,4,3,9.75
Solomon,Hill,2015-03-26,IND,MIL,1372,2,7,1,2,0,0,2,4,6,2,0,0,4,4,5,14.0
Lavoy,Allen,2015-03-26,IND,MIL,1120,0,4,0,0,0,0,0,3,3,1,1,0,1,1,0,6.75
